location,total_sqft,bath,balcony,BHK,price
mahalakshmi layout,1575.0,5.0,1.0,4.0,158.0
sanjay nagar,1800.0,3.0,2.0,3.0,180.0
bannerghatta road,1750.0,3.0,2.0,3.0,130.0
cv raman nagar,1040.0,2.0,1.0,2.0,50.0
other,1170.0,2.0,3.0,2.0,105.0
whitefield,1216.0,2.0,1.0,2.0,84.03
kanakpura road,2265.0,3.0,2.0,3.0,136.0
kanakpura road,525.0,1.0,1.0,1.0,26.0
bellandur,1050.0,2.0,2.0,2.0,72.0
hebbal,919.0,2.0,1.0,2.0,49.0
ambedkar nagar,2900.0,3.0,2.0,3.0,297.0
chandapura,877.0,2.0,3.0,2.0,42.0
kudlu gate,1707.0,2.0,2.0,3.0,99.745
jigani,914.0,2.0,2.0,2.0,47.0
rajiv nagar,2340.0,5.0,1.0,4.0,129.0
other,850.0,1.0,0.0,1.0,50.0
kaggadasapura,1200.0,2.0,2.0,2.0,40.0
sarjapur,3508.0,4.0,1.0,4.0,386.0
sarjapur  road,1770.0,3.0,2.0,3.0,180.0
other,4000.0,6.0,2.0,6.0,460.0
sarjapur  road,1157.0,2.0,1.0,3.0,72.0
lingadheeranahalli,2240.0,4.0,2.0,4.0,160.0
marathahalli,1060.0,2.0,1.0,2.0,48.0
murugeshpalya,1185.0,2.0,1.0,2.0,85.0
yelenahalli,1260.0,2.0,2.0,2.0,47.88
kambipura,883.0,2.0,1.0,2.0,39.0
other,800.0,2.0,1.0,3.0,52.0
kalena agrahara,980.0,2.0,2.0,2.0,35.0
domlur,1276.0,2.0,2.0,2.0,80.0
hormavu,1093.0,2.0,1.0,2.0,32.78
lingadheeranahalli,2245.0,4.0,2.0,4.0,154.0
kr puram,1085.0,2.0,1.0,2.0,46.5
kothannur,1300.0,2.0,0.0,3.0,60.0
kammasandra,1400.0,3.0,2.0,3.0,92.0
lakshminarayana pura,1185.0,2.0,2.0,2.0,75.0
uttarahalli,1107.0,2.0,1.0,2.0,45.0
hoodi,863.0,1.0,0.0,1.0,40.55
hosakerehalli,3205.0,5.0,1.0,4.0,380.0
other,845.0,2.0,1.0,2.0,55.0
other,4000.0,5.0,1.0,4.0,280.0
amruthahalli,485.0,1.0,1.0,1.0,19.5
other,1517.0,2.0,2.0,2.0,125.0
kodigehaali,1600.0,3.0,3.0,4.0,185.0
uttarahalli,1700.0,3.0,2.0,3.0,88.0
electronic city,1152.0,2.0,1.0,2.0,64.5
tumkur road,1459.0,2.0,1.0,3.0,95.0
other,650.0,1.0,0.0,1.0,16.0
garudachar palya,4500.0,5.0,2.0,4.0,400.0
laggere,2800.0,5.0,2.0,5.0,125.0
sarjapur  road,1489.0,3.0,2.0,3.0,88.0
brookefield,1125.0,2.0,2.0,2.0,70.0
kanakpura road,525.0,1.0,1.0,1.0,30.0
kudlu,1027.0,2.0,2.0,2.0,44.0
other,660.0,2.0,0.0,2.0,76.0
kengeri,1150.0,1.0,0.0,1.0,52.0
sarjapur  road,702.0,1.0,0.0,1.0,35.8
yelahanka,1200.0,4.0,1.0,5.0,140.0
electronic city,1360.0,2.0,1.0,3.0,70.0
jigani,943.0,2.0,2.0,2.0,49.5
other,1200.0,2.0,1.0,2.0,125.0
hebbal,1500.0,3.0,1.0,3.0,150.0
frazer town,2900.0,4.0,2.0,4.0,325.0
other,1660.0,2.0,2.0,3.0,105.0
banaswadi,527.0,1.0,0.0,1.0,35.0
marathahalli,700.0,1.0,1.0,1.0,38.0
other,2100.0,4.0,2.0,4.0,155.0
kodigehaali,1200.0,2.0,2.0,2.0,60.0
7th phase jp nagar,1275.0,2.0,2.0,3.0,88.0
kodihalli,1620.0,3.0,2.0,3.0,130.0
bannerghatta road,1220.0,2.0,1.0,2.0,80.0
other,3000.0,5.0,2.0,4.0,270.0
akshaya nagar,1200.0,4.0,2.0,4.0,125.0
malleshwaram,2425.0,7.0,3.0,7.0,140.0
bannerghatta road,1122.5,2.0,0.0,2.0,58.935
other,600.0,4.0,3.0,6.0,65.0
kaikondrahalli,3381.0,6.0,3.0,6.0,225.0
electronics city phase 1,630.0,1.0,1.0,1.0,39.0
hebbal,1645.0,3.0,2.0,3.0,117.0
other,1364.0,2.0,2.0,2.0,70.0
kanakpura road,950.0,2.0,1.0,2.0,57.0
hebbal,3895.0,4.0,2.0,4.0,405.0
channasandra,1065.0,2.0,1.0,2.0,35.0
channasandra,1115.0,2.0,1.0,2.0,35.8
electronic city phase ii,1252.0,2.0,3.0,3.0,65.0
bannerghatta road,1246.0,2.0,2.0,2.0,47.35
other,1407.0,2.0,1.0,2.0,83.87
abbigere,1130.0,2.0,1.0,2.0,46.33
marathahalli,1135.0,2.0,2.0,2.0,60.0
anekal,620.0,2.0,1.0,2.0,22.0
varthur,1091.0,2.0,1.0,2.0,32.0
hebbal kempapura,1800.0,3.0,3.0,3.0,150.0
7th phase jp nagar,1460.0,2.0,1.0,3.0,97.0
devanahalli,1498.0,3.0,3.0,3.0,79.15
laggere,1200.0,1.0,1.0,1.0,48.0
dodda nekkundi,1148.0,2.0,1.0,2.0,56.0
other,1584.0,3.0,2.0,4.0,145.0
bommasandra,902.0,2.0,2.0,2.0,49.0
whitefield,1320.0,2.0,3.0,2.0,79.5
kr puram,750.0,2.0,0.0,2.0,40.0
begur road,1260.0,2.0,2.0,2.0,46.62
other,975.0,2.0,1.0,2.0,55.0
kr puram,1200.0,2.0,1.0,2.0,72.0
banashankari stage ii,1240.0,2.0,2.0,3.0,59.52
talaghattapura,1804.0,3.0,2.0,3.0,127.0
lakshminarayana pura,1172.0,2.0,2.0,2.0,82.0
other,1500.0,2.0,1.0,3.0,130.0
thanisandra,750.0,4.0,0.0,5.0,62.0
banashankari stage ii,1500.0,2.0,1.0,3.0,120.0
sarjapur  road,1680.0,3.0,1.0,3.0,112.0
sarjapura - attibele road,2400.0,3.0,3.0,3.0,85.0
ulsoor,1255.0,2.0,3.0,2.0,120.0
ambedkar nagar,1409.0,2.0,2.0,2.0,95.0
electronic city phase ii,1160.0,2.0,1.0,2.0,33.51
whitefield,2400.0,4.0,3.0,4.0,200.0
bannerghatta road,1550.0,3.0,2.0,3.0,96.0
kumaraswami layout,2040.0,4.0,3.0,7.0,123.0
devanahalli,775.0,1.0,0.0,1.0,39.0
bannerghatta road,1154.0,2.0,2.0,2.0,47.0
somasundara palya,1329.0,2.0,2.0,2.0,70.0
kannamangala,1536.0,3.0,1.0,3.0,104.0
abbigere,1200.0,3.0,2.0,4.0,120.0
thanisandra,1411.0,3.0,2.0,3.0,100.0
other,900.0,3.0,2.0,5.0,80.0
uttarahalli,1279.0,2.0,2.0,2.0,48.0
other,1155.0,2.0,1.0,2.0,64.0
cv raman nagar,1836.0,3.0,2.0,3.0,148.0
whitefield,1760.0,3.0,2.0,3.0,160.0
gm palaya,1140.0,2.0,2.0,2.0,48.95
btm layout,1797.5712999999998,3.0,2.0,3.0,10.0
singasandra,1139.7,2.0,1.0,2.0,45.0
bannerghatta road,1200.0,2.0,2.0,3.0,69.0
ananth nagar,1470.0,3.0,2.0,3.0,54.0
mahadevpura,1601.0,3.0,2.0,3.0,95.0
vijayanagar,1180.0,2.0,1.0,2.0,86.0
begur,1559.0,3.0,2.0,3.0,63.0
sarjapur,1205.0,2.0,2.0,2.0,29.0
banashankari,1400.0,2.0,1.0,3.0,78.0
gottigere,1613.0,3.0,3.0,3.0,72.0
raja rajeshwari nagar,550.0,1.0,0.0,1.0,21.0
frazer town,3500.0,4.0,2.0,3.0,330.0
yelahanka,1650.0,3.0,3.0,3.0,105.0
jakkur,1710.0,3.0,2.0,3.0,107.0
other,1012.0,2.0,1.0,2.0,62.0
vittasandra,1238.0,2.0,1.0,2.0,67.0
kudlu gate,812.0,2.0,1.0,2.0,38.25
other,1800.0,4.0,1.0,4.0,145.0
electronic city phase ii,1116.0,2.0,2.0,2.0,37.0
other,1850.0,3.0,0.0,6.0,175.0
kenchenahalli,1015.0,2.0,2.0,2.0,58.0
kundalahalli,1724.0,3.0,3.0,3.0,140.0
other,1280.0,5.0,3.0,7.0,150.0
sarjapura - attibele road,3750.0,6.0,3.0,5.0,295.0
yelahanka new town,500.0,1.0,1.0,1.0,20.0
ambedkar nagar,1852.0,4.0,2.0,3.0,122.0
kr puram,930.0,2.0,2.0,2.0,39.0
sarjapur  road,1262.0,2.0,2.0,2.0,67.0
other,1500.0,1.0,0.0,1.0,37.5
other,418.0,1.0,1.0,1.0,17.0
marathahalli,1240.0,2.0,2.0,2.0,55.0
ramagondanahalli,1251.0,2.0,1.0,2.0,53.0
raja rajeshwari nagar,1580.0,2.0,2.0,3.0,66.85
basaveshwara nagar,4500.0,5.0,1.0,5.0,415.0
lingadheeranahalli,1519.0,3.0,1.0,3.0,93.0
hennur,1285.0,2.0,1.0,2.0,60.0
kasavanhalli,1121.0,2.0,2.0,2.0,78.0
banashankari stage iii,2100.0,3.0,1.0,4.0,147.0
bommasandra industrial area,1365.0,3.0,1.0,3.0,52.81
bellandur,1205.0,2.0,1.0,2.0,59.0
hennur road,1680.0,3.0,2.0,3.0,99.27
thanisandra,1884.0,4.0,2.0,3.0,117.0
lb shastri nagar,1043.0,2.0,2.0,2.0,55.0
electronic city,1070.0,2.0,1.0,2.0,60.0
other,3000.0,5.0,2.0,4.0,260.0
kereguddadahalli,1000.0,2.0,1.0,2.0,34.0
ananth nagar,870.0,2.0,2.0,2.0,36.0
banashankari,1200.0,3.0,2.0,3.0,74.52
kasavanhalli,1715.0,3.0,3.0,3.0,112.0
bellandur,1454.0,2.0,1.0,2.0,90.0
kengeri,2540.0,4.0,0.0,4.0,160.0
indira nagar,2700.0,3.0,2.0,3.0,324.0
green glen layout,1751.0,2.0,1.0,3.0,115.0
other,1233.0,2.0,3.0,2.0,100.0
bannerghatta road,1250.0,2.0,0.0,2.0,48.0
chandapura,645.0,1.0,1.0,1.0,16.45
hosur road,1590.0,2.0,2.0,3.0,126.0
kr puram,2065.0,4.0,0.0,4.0,248.0
thanisandra,1965.0,4.0,2.0,3.0,125.0
other,3080.0,2.0,1.0,4.0,285.0
anekal,925.0,2.0,1.0,2.0,40.0
mallasandra,600.0,2.0,2.0,4.0,50.0
hormavu,1196.0,2.0,1.0,2.0,44.8
electronic city phase ii,1244.0,2.0,1.0,2.0,55.0
akshaya nagar,1179.0,2.0,1.0,2.0,51.0
7th phase jp nagar,1140.0,2.0,1.0,2.0,57.0
other,1117.0,2.0,1.0,2.0,110.0
bannerghatta road,1136.0,2.0,1.0,2.0,48.0
sarjapur  road,2275.0,4.0,2.0,3.0,185.0
whitefield,2403.0,4.0,2.0,4.0,270.0
raja rajeshwari nagar,1170.0,2.0,3.0,2.0,50.0
other,432.0,2.0,1.0,2.0,40.0
hebbal,1320.0,2.0,1.0,2.0,91.0
kaggalipura,950.0,2.0,1.0,2.0,45.0
green glen layout,1715.0,3.0,3.0,3.0,112.0
sarjapur  road,1019.0,2.0,1.0,2.0,62.0
btm layout,450.0,1.0,1.0,1.0,20.0
other,1715.0,3.0,2.0,3.0,95.0
basavangudi,1100.0,2.0,3.0,2.0,93.0
sompura,825.0,2.0,1.0,2.0,33.0
other,1012.0,2.0,1.0,2.0,59.0
haralur road,3700.0,4.0,2.0,4.0,325.0
yelachenahalli,1464.0,2.0,3.0,3.0,105.0
mahadevpura,1146.0,2.0,1.0,2.0,53.8
yelahanka,1603.0,3.0,2.0,3.0,96.0
kaikondrahalli,1115.0,2.0,2.0,2.0,50.0
channasandra,1340.0,2.0,2.0,3.0,48.33
sarjapur  road,1340.0,2.0,2.0,2.0,75.0
rachenahalli,1856.0,3.0,3.0,3.0,106.0
aecs layout,1135.0,2.0,2.0,2.0,68.0
yeshwanthpur,1852.0,3.0,2.0,3.0,160.0
thigalarapalya,1400.0,2.0,2.0,2.0,105.0
other,1200.0,2.0,1.0,2.0,100.0
green glen layout,1750.0,3.0,2.0,3.0,81.0
indira nagar,1260.0,2.0,3.0,2.0,120.0
hoodi,1400.0,2.0,1.0,2.0,82.0
kanakpura road,700.0,2.0,1.0,2.0,35.0
bannerghatta road,1215.0,2.0,1.0,2.0,65.0
old madras road,2990.0,5.0,1.0,3.0,173.0
whitefield,2173.0,3.0,2.0,3.0,128.0
hegde nagar,3734.0,5.0,1.0,4.0,430.0
subramanyapura,1260.0,2.0,1.0,3.0,80.0
kannamangala,1262.0,2.0,2.0,2.0,55.0
thanisandra,934.0,2.0,2.0,2.0,55.0
devarachikkanahalli,1417.0,2.0,2.0,3.0,76.0
horamavu banaswadi,1200.0,2.0,1.0,2.0,45.0
kaggadasapura,1140.0,2.0,2.0,2.0,46.0
yelahanka,2100.0,4.0,1.0,4.0,180.0
whitefield,3150.0,3.0,1.0,3.0,290.0
sarjapur  road,1157.0,2.0,1.0,3.0,74.0
hebbal,1100.0,2.0,2.0,2.0,42.0
other,1200.0,3.0,1.0,4.0,95.0
kudlu gate,1335.0,3.0,2.0,3.0,89.0
akshaya nagar,1421.0,2.0,2.0,3.0,73.0
other,1719.0,3.0,2.0,3.0,110.0
karuna nagar,1945.0,3.0,3.0,3.0,115.0
thanisandra,1935.0,4.0,2.0,3.0,122.0
devanahalli,5000.0,5.0,2.0,4.0,395.0
cv raman nagar,1070.0,2.0,2.0,2.0,47.5
vittasandra,1246.0,2.0,1.0,2.0,64.5
other,1450.0,2.0,2.0,2.0,90.0
kammanahalli,1200.0,3.0,2.0,2.0,80.0
amruthahalli,1190.0,2.0,2.0,2.0,50.0
kadugodi,1890.0,4.0,3.0,3.0,125.0
whitefield,2225.0,2.0,1.0,3.0,125.0
gollarapalya hosahalli,1129.0,2.0,1.0,2.0,50.0
kengeri satellite town,650.0,2.0,1.0,4.0,58.0
raja rajeshwari nagar,1608.0,2.0,2.0,2.0,85.0
8th phase jp nagar,1100.0,2.0,2.0,2.0,35.0
varthur,1000.0,1.0,1.0,1.0,70.0
battarahalli,600.0,1.0,0.0,1.0,47.0
ramamurthy nagar,1050.0,2.0,0.0,2.0,37.0
thanisandra,2195.8356,4.0,2.0,3.0,185.0
electronic city,1571.0,3.0,2.0,3.0,83.0
hebbal,1355.0,3.0,1.0,3.0,83.87
other,1200.0,3.0,0.0,2.0,85.0
other,2600.0,3.0,2.0,3.0,140.0
jp nagar,1152.0,2.0,1.0,2.0,34.56
kothanur,1195.0,2.0,2.0,2.0,59.0
binny pete,2406.0,5.0,2.0,3.0,289.0
kengeri,1025.0,2.0,2.0,2.0,57.0
kr puram,1155.0,2.0,2.0,2.0,42.74
bommasandra,1089.0,2.0,1.0,2.0,40.0
sarjapur  road,2383.0,5.0,1.0,4.0,215.0
kengeri,1125.0,2.0,1.0,4.0,88.0
dasarahalli,2400.0,3.0,3.0,7.0,150.0
bhoganhalli,1554.3,4.0,1.0,4.0,131.0
other,1550.0,3.0,3.0,3.0,110.0
other,1150.0,2.0,1.0,2.0,75.0
sarjapur,913.0,2.0,1.0,2.0,32.0
marathahalli,1208.0,2.0,2.0,2.0,70.0
cv raman nagar,1225.0,2.0,2.0,2.0,48.0
bommenahalli,1632.0,3.0,0.0,4.0,140.0
kasavanhalli,1375.0,2.0,1.0,2.0,78.0
brookefield,1500.0,5.0,3.0,4.0,160.0
other,660.0,1.0,0.0,1.0,30.0
chikka tirupathi,2153.0,4.0,3.0,3.0,120.0
arekere,1445.0,2.0,2.0,3.0,125.0
other,2400.0,3.0,2.0,4.0,200.0
sompura,1025.0,2.0,1.0,3.0,48.0
sultan palaya,1100.0,2.0,1.0,2.0,45.0
sarjapur  road,1435.0,3.0,2.0,3.0,90.0
kanakapura,938.0,1.0,1.0,1.0,50.0
kadugodi,1394.0,2.0,2.0,2.0,56.0
doddakallasandra,1360.0,2.0,2.0,3.0,54.39
attibele,1200.0,3.0,2.0,3.0,105.0
hebbal,1420.0,2.0,1.0,2.0,123.0
banashankari stage iii,1000.0,2.0,1.0,3.0,120.0
battarahalli,1276.0,2.0,2.0,2.0,45.0
other,3595.0,6.0,2.0,4.0,360.0
whitefield,1485.0,2.0,1.0,2.0,96.51
7th phase jp nagar,1765.0,3.0,2.0,3.0,118.0
mysore road,1568.0,2.0,2.0,3.0,100.0
subramanyapura,975.0,2.0,1.0,2.0,65.0
budigere,1139.0,2.0,2.0,2.0,72.0
electronic city phase ii,1031.0,2.0,1.0,2.0,53.0
hulimavu,1823.0,3.0,2.0,3.0,100.0
other,1750.0,3.0,2.0,3.0,150.0
akshaya nagar,1070.0,2.0,1.0,2.0,54.0
bommasandra,1035.0,2.0,1.0,2.0,41.43
itpl,1200.0,3.0,1.0,3.0,56.12
rachenahalli,1530.0,2.0,2.0,3.0,74.4
bommasandra,955.0,2.0,1.0,2.0,37.97
kaval byrasandra,460.0,1.0,0.0,2.0,22.0
other,1200.0,8.0,1.0,8.0,135.0
other,1560.0,3.0,1.0,3.0,188.0
other,2159.0,3.0,2.0,3.0,120.0
thanisandra,933.0,2.0,1.0,2.0,55.0
kudlu gate,1183.0,2.0,1.0,2.0,79.54
r.t. nagar,1150.0,2.0,2.0,2.0,72.0
varthur,674.0,1.0,1.0,2.0,19.9
ramagondanahalli,1910.0,3.0,2.0,3.0,142.0
other,1600.0,3.0,1.0,3.0,100.0
yelahanka,1322.0,2.0,2.0,2.0,86.0
hosa road,1538.0,3.0,1.0,3.0,107.0
vijayanagar,1749.0,3.0,1.0,3.0,117.0
jakkur,3181.0,4.0,0.0,4.0,260.5
thigalarapalya,2215.0,4.0,2.0,3.0,160.0
kundalahalli,2100.0,3.0,2.0,3.0,150.0
other,712.0,2.0,1.0,4.0,67.5
electronic city,1090.0,2.0,1.0,1.0,31.48
kengeri,400.0,1.0,1.0,1.0,25.0
electronics city phase 1,650.0,1.0,1.0,1.0,23.0
horamavu banaswadi,1156.0,2.0,2.0,2.0,46.0
attibele,656.0,2.0,1.0,2.0,25.0
tc palaya,1200.0,2.0,1.0,2.0,70.0
hebbal,812.0,2.0,2.0,2.0,55.0
other,1850.0,3.0,3.0,3.0,98.0
hegde nagar,1200.0,4.0,1.0,4.0,83.0
attibele,1000.0,2.0,1.0,2.0,42.0
other,1340.0,2.0,3.0,2.0,77.0
ambedkar nagar,1425.0,2.0,1.0,2.0,94.0
other,900.0,3.0,1.0,2.0,105.0
yelahanka,1104.0,2.0,2.0,2.0,58.0
other,1700.0,3.0,2.0,3.0,111.0
kundalahalli,1397.0,3.0,3.0,3.0,108.0
other,2400.0,2.0,1.0,2.0,228.0
other,750.0,4.0,2.0,4.0,90.0
akshaya nagar,1896.0,3.0,2.0,3.0,102.0
rayasandra,1199.0,2.0,1.0,3.0,48.5
tc palaya,4800.0,3.0,3.0,4.0,302.0
kothanur,1462.0,3.0,3.0,3.0,71.0
sarjapur  road,675.0,1.0,1.0,1.0,27.0
7th phase jp nagar,1420.0,2.0,2.0,3.0,96.0
uttarahalli,1175.0,2.0,1.0,2.0,47.0
seegehalli,1096.0,2.0,1.0,2.0,41.0
bommanahalli,1100.0,1.0,2.0,2.0,55.0
yeshwanthpur,1950.0,4.0,0.0,4.0,130.0
doddaballapur,4200.0,4.0,3.0,4.0,325.0
marathahalli,2524.0,5.0,2.0,4.0,180.0
bommasandra industrial area,1130.0,2.0,1.0,2.0,32.64
iblur village,1995.0,3.0,2.0,3.0,135.0
babusapalaya,1500.0,2.0,2.0,2.0,57.0
marathahalli,1314.0,2.0,3.0,2.0,55.0
old airport road,1150.0,2.0,1.0,2.0,90.0
thanisandra,2999.97,6.0,0.0,6.0,110.0
yelenahalli,1200.0,2.0,2.0,2.0,46.17
kasavanhalli,1100.0,2.0,1.0,2.0,65.0
electronic city,1070.0,2.0,1.0,2.0,53.0
bommanahalli,1355.0,2.0,0.0,2.0,73.17
sarjapur  road,1346.0,2.0,1.0,2.0,69.61
budigere,1820.0,3.0,2.0,3.0,95.0
vijayanagar,1739.0,3.0,1.0,3.0,116.0
electronic city phase ii,545.0,1.0,1.0,2.0,35.0
haralur road,1650.0,3.0,3.0,3.0,100.0
other,1340.0,2.0,1.0,3.0,100.0
other,1623.0,3.0,3.0,3.0,155.0
uttarahalli,1685.0,3.0,2.0,3.0,85.0
jakkur,1816.0,3.0,1.0,3.0,119.0
whitefield,1800.0,3.0,2.0,3.0,110.0
hennur road,1904.0,3.0,2.0,3.0,129.0
chikkalasandra,1428.0,2.0,1.0,3.0,80.0
kaval byrasandra,2700.0,3.0,2.0,3.0,200.0
arekere,900.0,2.0,3.0,2.0,50.0
itpl,1548.0,3.0,2.0,3.0,89.5
other,1170.0,2.0,2.0,2.0,68.0
bommanahalli,1000.0,2.0,2.0,2.0,29.9
uttarahalli,1280.0,2.0,2.0,3.0,60.0
other,600.0,4.0,1.0,4.0,70.0
bellandur,1281.0,2.0,2.0,2.0,87.0
domlur,2955.0,3.0,2.0,3.0,235.0
bellandur,1767.0,3.0,2.0,3.0,109.0
other,10763.9,2.0,1.0,1.0,93.0
bannerghatta road,1711.0,3.0,2.0,3.0,125.0
other,1000.0,2.0,1.0,2.0,53.0
bellandur,1200.0,2.0,1.0,2.0,62.0
other,1980.0,3.0,2.0,3.0,224.0
marathahalli,1230.0,2.0,2.0,2.0,80.0
other,720.0,1.0,2.0,1.0,28.0
uttarahalli,1689.28,3.0,2.0,3.0,91.2
5th phase jp nagar,1207.0,2.0,2.0,2.0,63.0
7th phase jp nagar,850.0,2.0,2.0,2.0,42.0
marathahalli,1102.0,2.0,2.0,2.0,53.67
whitefield,1626.0,3.0,3.0,3.0,85.0
hoodi,1196.0,2.0,2.0,2.0,94.42
hosa road,1512.0,3.0,2.0,3.0,103.0
varthur,1097.0,2.0,1.0,2.0,33.82
raja rajeshwari nagar,1144.0,2.0,2.0,2.0,38.55
hormavu,1153.0,2.0,1.0,2.0,65.0
9th phase jp nagar,1100.0,2.0,1.0,2.0,65.0
somasundara palya,1186.0,2.0,1.0,2.0,76.0
subramanyapura,600.0,3.0,1.0,3.0,69.0
other,2000.0,2.0,1.0,2.0,160.0
electronic city,1128.0,2.0,1.0,2.0,65.7
thanisandra,1651.0,3.0,3.0,3.0,97.38
kr puram,1000.0,2.0,1.0,2.0,44.5
epip zone,1860.0,3.0,2.0,3.0,130.0
karuna nagar,1960.0,3.0,2.0,3.0,165.0
whitefield,6000.0,4.0,2.0,4.0,410.0
gottigere,1500.0,3.0,2.0,3.0,63.0
whitefield,3480.0,4.0,2.0,3.0,284.0
other,2700.0,2.0,1.0,3.0,260.0
choodasandra,2429.0,3.0,1.0,4.0,210.0
kothanur,1186.0,2.0,2.0,2.0,58.0
horamavu agara,1145.0,2.0,1.0,2.0,41.21
kalena agrahara,1902.0,3.0,2.0,3.0,89.0
kaggadasapura,2100.0,5.0,0.0,5.0,150.0
other,1600.0,3.0,3.0,3.0,90.0
horamavu banaswadi,1254.0,2.0,2.0,2.0,47.0
murugeshpalya,1855.0,3.0,3.0,3.0,96.0
electronic city phase ii,911.0,2.0,1.0,2.0,26.5
thanisandra,3600.0,9.0,3.0,8.0,125.0
malleshwaram,1020.0,2.0,1.0,2.0,80.0
electronic city,1128.0,2.0,1.0,2.0,64.0
kalyan nagar,2285.0,4.0,1.0,3.0,165.0
bannerghatta road,1885.0,3.0,1.0,3.0,125.0
magadi road,3600.0,6.0,0.0,6.0,141.0
yelahanka,1600.0,3.0,3.0,3.0,100.0
raja rajeshwari nagar,1140.0,2.0,1.0,2.0,49.27
rajiv nagar,1263.0,2.0,1.0,2.0,93.32
brookefield,941.0,2.0,2.0,2.0,48.0
munnekollal,1200.0,2.0,1.0,3.0,57.9
electronic city phase ii,1125.0,2.0,1.0,2.0,32.63
haralur road,1817.0,3.0,2.0,3.0,110.0
whitefield,1991.0,3.0,2.0,3.0,104.0
kumaraswami layout,2400.0,7.0,1.0,7.0,125.0
sarjapur  road,1163.0,2.0,2.0,3.0,62.0
kaggadasapura,1140.0,2.0,2.0,2.0,40.0
vishveshwarya layout,2100.0,6.0,0.0,6.0,92.0
kasturi nagar,1925.0,3.0,2.0,3.0,125.0
other,700.0,1.0,0.0,1.0,41.0
whitefield,3010.0,3.0,2.0,3.0,200.0
kr puram,3657.0,5.0,2.0,5.0,310.0
kasavanhalli,1100.0,2.0,1.0,2.0,68.0
other,3500.0,4.0,2.0,4.0,245.0
begur road,1215.0,2.0,1.0,2.0,43.75
other,610.0,1.0,0.0,1.0,28.0
akshaya nagar,1360.0,2.0,2.0,3.0,85.0
whitefield,1626.0,3.0,3.0,3.0,89.0
hsr layout,1203.0,2.0,2.0,2.0,60.0
other,900.0,2.0,0.0,3.0,65.0
uttarahalli,1627.86,3.0,2.0,3.0,88.0
gottigere,1500.0,4.0,1.0,5.0,100.0
attibele,656.0,2.0,1.0,2.0,25.0
electronic city,1060.0,2.0,1.0,2.0,55.0
hennur road,1140.0,2.0,2.0,2.0,56.0
raja rajeshwari nagar,1270.0,2.0,2.0,2.0,62.0
pai layout,1000.0,2.0,3.0,2.0,42.0
yelahanka new town,680.0,1.0,1.0,2.0,80.0
yelachenahalli,1130.0,2.0,2.0,2.0,40.0
jigani,918.0,2.0,2.0,2.0,56.0
other,2150.0,4.0,2.0,3.0,240.0
other,2380.0,4.0,3.0,4.0,242.0
kogilu,1909.0,3.0,2.0,3.0,88.0
bommasandra,1020.0,2.0,1.0,2.0,40.89
gollarapalya hosahalli,1318.0,3.0,1.0,3.0,54.0
kr puram,1192.5,2.0,0.0,2.0,51.22
other,2500.0,3.0,2.0,3.0,270.0
jalahalli,1400.0,1.0,1.0,2.0,80.0
frazer town,1870.0,3.0,3.0,3.0,185.0
bannerghatta road,1693.0,3.0,2.0,3.0,89.0
banashankari,1450.0,2.0,2.0,2.0,50.75
vijayanagar,1933.0,3.0,1.0,3.0,129.0
prithvi layout,1352.0,2.0,2.0,2.0,72.0
jalahalli east,750.0,1.0,2.0,1.0,40.0
other,2045.0,3.0,2.0,3.0,108.0
jalahalli east,775.0,1.0,0.0,1.0,34.1
other,2400.0,3.0,2.0,3.0,170.0
hulimavu,1260.0,2.0,1.0,3.0,82.0
thanisandra,1743.0,3.0,2.0,3.0,93.25
hormavu,1200.0,2.0,3.0,2.0,68.0
other,1150.0,2.0,0.0,3.0,60.0
bannerghatta road,1000.0,2.0,1.0,2.0,50.0
hoodi,1639.0,3.0,1.0,3.0,98.32
kanakpura road,1593.0,3.0,1.0,3.0,118.0
begur road,1334.0,2.0,3.0,2.0,42.69
sarjapur,1150.0,2.0,1.0,2.0,41.0
kaval byrasandra,997.0,2.0,3.0,2.0,53.0
yeshwanthpur,2400.0,6.0,2.0,9.0,270.0
5th phase jp nagar,1070.0,2.0,2.0,2.0,39.0
jigani,4303.5,2.0,2.0,4.0,226.0
doddathoguru,1107.0,2.0,3.0,2.0,44.0
gm palaya,1225.0,2.0,2.0,2.0,47.0
raja rajeshwari nagar,1550.0,3.0,1.0,3.0,86.8
9th phase jp nagar,1331.95,2.0,2.0,2.0,69.0
hbr layout,1200.0,2.0,2.0,2.0,60.0
ananth nagar,992.0,2.0,2.0,2.0,24.8
chandapura,800.0,2.0,1.0,2.0,25.0
bellandur,924.0,2.0,2.0,2.0,35.11
1st block jayanagar,930.0,4.0,2.0,7.0,85.0
kaggalipura,2400.0,3.0,1.0,3.0,165.0
7th phase jp nagar,1850.0,3.0,2.0,3.0,150.0
kodichikkanahalli,1680.0,2.0,3.0,2.0,59.0
neeladri nagar,1060.0,2.0,0.0,2.0,35.0
other,800.0,5.0,1.0,5.0,95.0
other,1000.0,2.0,0.0,3.0,110.0
hennur road,1679.0,3.0,2.0,3.0,94.86
whitefield,1277.0,2.0,1.0,2.0,77.0
other,925.0,2.0,1.0,2.0,55.0
hennur road,1065.0,2.0,1.0,2.0,42.6
budigere,1162.0,2.0,1.0,2.0,59.9
kammanahalli,1666.0,4.0,1.0,5.0,150.0
